domain,target,order,contrast,group,label1,label2,learn_set,test_set
vegetable,label2,sub,contrast,E,tuffee,blicket,"[""vegetable/basic-pepper/contrast-red_pepper/1contrast-red_pepper.jpg"",""vegetable/basic-pepper/sub-green_pepper/1sub-green_pepper.jpg""]","[""furniture/sup-furniture-2.jpg"",""vegetable/basic-pepper/sub-green_pepper/sub-green_pepper-1.jpg"",""planet/sup-planet-1.jpg"",""vegetable/basic-pepper/sub-green_pepper/sub-green_pepper-2.jpg"",""vehicle/sup-vehicle-1.jpg"",""vegetable/basic-pepper/basic-pepper-1.jpg"",""electronics/sup-electronics-1.jpg"",""vegetable/basic-pepper/contrast-red_pepper/contrast-red_pepper-1.jpg"",""light/sup-light-2.jpg"",""vegetable/basic-pepper/basic-pepper-2.jpg""]"
vehicle,label1,basic,single,E,clazzo,,"[""vehicle/basic-car/sub-racecar/1sub-racecar.jpg""]","[""fruit/sup-fruit-4.jpg"",""vehicle/basic-car/basic-car-1.jpg"",""vegetable/sup-vegetable-3.jpg"",""vehicle/basic-car/contrast-van/contrast-van-1.jpg"",""planet/sup-planet-5.jpg"",""vehicle/basic-car/basic-car-2.jpg"",""animal/sup-animal-5.jpg"",""vehicle/basic-car/sub-racecar/sub-racecar-1.jpg"",""beast/sup-beast-5.jpg"",""vehicle/basic-car/sub-racecar/sub-racecar-2.jpg""]"
animal,label1,basic,single,F,kapsin,,"[""animal/basic-dog/sub-dalmatian/1sub-dalmatian.jpg""]","[""electronics/sup-electronics-5.jpg"",""animal/basic-dog/basic-dog-1.jpg"",""vehicle/sup-vehicle-4.jpg"",""animal/basic-dog/contrast-corgi/contrast-corgi-1.jpg"",""furniture/sup-furniture-3.jpg"",""animal/basic-dog/basic-dog-2.jpg"",""light/sup-light-3.jpg"",""animal/basic-dog/sub-dalmatian/sub-dalmatian-1.jpg"",""planet/sup-planet-4.jpg"",""animal/basic-dog/sub-dalmatian/sub-dalmatian-2.jpg""]"
beast,label2,basic,contrast,F,garlet,crittum,"[""beast/basic-dinosaur/contrast-triceratops/1contrast-triceratops.jpg"",""beast/basic-dinosaur/sub-trex/1sub-trex.jpg""]","[""electronics/sup-electronics-3.jpg"",""beast/basic-dinosaur/basic-dinosaur-1.jpg"",""vehicle/sup-vehicle-2.jpg"",""beast/basic-dinosaur/contrast-triceratops/contrast-triceratops-1.jpg"",""furniture/sup-furniture-2.jpg"",""beast/basic-dinosaur/basic-dinosaur-2.jpg"",""light/sup-light-3.jpg"",""beast/basic-dinosaur/sub-trex/sub-trex-1.jpg"",""planet/sup-planet-2.jpg"",""beast/basic-dinosaur/sub-trex/sub-trex-2.jpg""]"
electronics,label1,sub,single,F,tazzai,,"[""electronics/basic-phone/sub-smart_phone/1sub-smart_phone.jpg""]","[""beast/sup-beast-2.jpg"",""electronics/basic-phone/sub-smart_phone/sub-smart_phone-1.jpg"",""animal/sup-animal-1.jpg"",""electronics/basic-phone/sub-smart_phone/sub-smart_phone-2.jpg"",""planet/sup-planet-3.jpg"",""electronics/basic-phone/basic-phone-1.jpg"",""fruit/sup-fruit-4.jpg"",""electronics/basic-phone/contrast-flip_phone/contrast-flip_phone-1.jpg"",""vegetable/sup-vegetable-3.jpg"",""electronics/basic-phone/basic-phone-2.jpg""]"
Filler-Shape-triangle,label1,NA,single,F,panzet,,"[""Fillers/Shape/triangle.jpg""]","[""Fillers/Shape/lines-11.jpg"",""Fillers/Shape/lines-13.jpg"",""Fillers/Shape/triangle-5.jpg"",""Fillers/Shape/lines-9.jpg"",""Fillers/Shape/lines-8.jpg"",""Fillers/Shape/triangle-3.jpg"",""Fillers/Shape/lines-10.jpg"",""Fillers/Shape/lines-6.jpg"",""Fillers/Shape/lines-4.jpg"",""Fillers/Shape/triangle-1.jpg""]"
fruit,label1,sub,contrast,F,mipen,kalmick,"[""fruit/basic-apple/sub-red_apple/1sub-red_apple.jpg"",""fruit/basic-apple/contrast-green_apple/1contrast-green_apple.jpg""]","[""furniture/sup-furniture-3.jpg"",""fruit/basic-apple/sub-red_apple/sub-red_apple-1.jpg"",""vehicle/sup-vehicle-2.jpg"",""fruit/basic-apple/sub-red_apple/sub-red_apple-2.jpg"",""planet/sup-planet-5.jpg"",""fruit/basic-apple/basic-apple-1.jpg"",""light/sup-light-2.jpg"",""fruit/basic-apple/contrast-green_apple/contrast-green_apple-1.jpg"",""electronics/sup-electronics-1.jpg"",""fruit/basic-apple/basic-apple-2.jpg""]"
furniture,label1,basic,single,F,gavai,,"[""furniture/basic-chair/sub-wooden-chair/1sub-wooden_chair.jpg""]","[""fruit/sup-fruit-3.jpg"",""furniture/basic-chair/basic-chair-1.jpg"",""planet/sup-planet-5.jpg"",""furniture/basic-chair/contrast-office_chair/contrast-office_chair-1.jpg"",""animal/sup-animal-3.jpg"",""furniture/basic-chair/basic-chair-2.jpg"",""beast/sup-beast-1.jpg"",""furniture/basic-chair/sub-wooden-chair/sub-wooden_chair-1.jpg"",""vegetable/sup-vegetable-2.jpg"",""furniture/basic-chair/sub-wooden-chair/sub-wooden_chair-2.jpg""]"
light,label1,basic,contrast,F,belpid,spadil,"[""light/lamp/sub-gooseneck_lamp/1sub-gooseneck_lamp.jpg"",""light/lamp/contrast-desk_lamp/1contrast-desk_lamp.jpg""]","[""beast/sup-beast-3.jpg"",""light/lamp/basic-lamp-1.jpg"",""animal/sup-animal-2.jpg"",""light/lamp/contrast-desk_lamp/contrast-desk_lamp-1.jpg"",""vegetable/sup-vegetable-4.jpg"",""light/lamp/basic-lamp-2.jpg"",""planet/sup-planet-1.jpg"",""light/lamp/sub-gooseneck_lamp/sub-gooseneck_lamp-1.jpg"",""fruit/sup-fruit-1.jpg"",""light/lamp/sub-gooseneck_lamp/sub-gooseneck_lamp-2.jpg""]"
vegetable,label1,sub,single,F,tuffee,,"[""vegetable/basic-pepper/sub-green_pepper/1sub-green_pepper.jpg""]","[""light/sup-light-5.jpg"",""vegetable/basic-pepper/sub-green_pepper/sub-green_pepper-1.jpg"",""electronics/sup-electronics-4.jpg"",""vegetable/basic-pepper/sub-green_pepper/sub-green_pepper-2.jpg"",""vehicle/sup-vehicle-1.jpg"",""vegetable/basic-pepper/basic-pepper-1.jpg"",""planet/sup-planet-3.jpg"",""vegetable/basic-pepper/contrast-red_pepper/contrast-red_pepper-1.jpg"",""furniture/sup-furniture-2.jpg"",""vegetable/basic-pepper/basic-pepper-2.jpg""]"
vehicle,label2,sub,contrast,F,clazzo,dalkeet,"[""vehicle/basic-car/contrast-van/1contrast-van.jpg"",""vehicle/basic-car/sub-racecar/1sub-racecar.jpg""]","[""animal/sup-animal-5.jpg"",""vehicle/basic-car/sub-racecar/sub-racecar-1.jpg"",""planet/sup-planet-3.jpg"",""vehicle/basic-car/sub-racecar/sub-racecar-2.jpg"",""beast/sup-beast-5.jpg"",""vehicle/basic-car/basic-car-1.jpg"",""vegetable/sup-vegetable-5.jpg"",""vehicle/basic-car/contrast-van/contrast-van-1.jpg"",""fruit/sup-fruit-5.jpg"",""vehicle/basic-car/basic-car-2.jpg""]"
animal,label2,sub,contrast,G,kapsin,tantol,"[""animal/basic-dog/contrast-corgi/1contrast-corgi.jpg"",""animal/basic-dog/sub-dalmatian/1sub-dalmatian.jpg""]","[""vehicle/sup-vehicle-4.jpg"",""animal/basic-dog/sub-dalmatian/sub-dalmatian-1.jpg"",""furniture/sup-furniture-5.jpg"",""animal/basic-dog/sub-dalmatian/sub-dalmatian-2.jpg"",""planet/sup-planet-5.jpg"",""animal/basic-dog/basic-dog-1.jpg"",""electronics/sup-electronics-4.jpg"",""animal/basic-dog/contrast-corgi/contrast-corgi-1.jpg"",""light/sup-light-4.jpg"",""animal/basic-dog/basic-dog-2.jpg""]"
beast,label1,basic,single,G,garlet,,"[""beast/basic-dinosaur/sub-trex/1sub-trex.jpg""]","[""furniture/sup-furniture-2.jpg"",""beast/basic-dinosaur/basic-dinosaur-1.jpg"",""light/sup-light-1.jpg"",""beast/basic-dinosaur/contrast-triceratops/contrast-triceratops-1.jpg"",""vehicle/sup-vehicle-1.jpg"",""beast/basic-dinosaur/basic-dinosaur-2.jpg"",""electronics/sup-electronics-4.jpg"",""beast/basic-dinosaur/sub-trex/sub-trex-1.jpg"",""planet/sup-planet-5.jpg"",""beast/basic-dinosaur/sub-trex/sub-trex-2.jpg""]"
electronics,label2,basic,contrast,G,tazzai,pitten,"[""electronics/basic-phone/contrast-flip_phone/1contrast-flip_phone.jpg"",""electronics/basic-phone/sub-smart_phone/1sub-smart_phone.jpg""]","[""beast/sup-beast-3.jpg"",""electronics/basic-phone/basic-phone-1.jpg"",""planet/sup-planet-1.jpg"",""electronics/basic-phone/contrast-flip_phone/contrast-flip_phone-1.jpg"",""fruit/sup-fruit-5.jpg"",""electronics/basic-phone/basic-phone-2.jpg"",""vegetable/sup-vegetable-1.jpg"",""electronics/basic-phone/sub-smart_phone/sub-smart_phone-1.jpg"",""animal/sup-animal-5.jpg"",""electronics/basic-phone/sub-smart_phone/sub-smart_phone-2.jpg""]"
Filler-Shape-triangle,label1,NA,single,G,panzet,,"[""Fillers/Shape/triangle.jpg""]","[""Fillers/Shape/lines-11.jpg"",""Fillers/Shape/lines-13.jpg"",""Fillers/Shape/triangle-5.jpg"",""Fillers/Shape/lines-9.jpg"",""Fillers/Shape/lines-8.jpg"",""Fillers/Shape/triangle-3.jpg"",""Fillers/Shape/lines-10.jpg"",""Fillers/Shape/lines-6.jpg"",""Fillers/Shape/lines-4.jpg"",""Fillers/Shape/triangle-1.jpg""]"
fruit,label1,sub,single,G,mipen,,"[""fruit/basic-apple/sub-red_apple/1sub-red_apple.jpg""]","[""light/sup-light-4.jpg"",""fruit/basic-apple/sub-red_apple/sub-red_apple-1.jpg"",""planet/sup-planet-3.jpg"",""fruit/basic-apple/sub-red_apple/sub-red_apple-2.jpg"",""furniture/sup-furniture-1.jpg"",""fruit/basic-apple/basic-apple-1.jpg"",""electronics/sup-electronics-3.jpg"",""fruit/basic-apple/contrast-green_apple/contrast-green_apple-1.jpg"",""vehicle/sup-vehicle-3.jpg"",""fruit/basic-apple/basic-apple-2.jpg""]"
furniture,label1,sub,contrast,G,gavai,flippet,"[""furniture/basic-chair/sub-wooden-chair/1sub-wooden_chair.jpg"",""furniture/basic-chair/contrast-office_chair/1contrast-office_chair.jpg""]","[""planet/sup-planet-4.jpg"",""furniture/basic-chair/sub-wooden-chair/sub-wooden_chair-1.jpg"",""fruit/sup-fruit-5.jpg"",""furniture/basic-chair/sub-wooden-chair/sub-wooden_chair-2.jpg"",""animal/sup-animal-3.jpg"",""furniture/basic-chair/basic-chair-1.jpg"",""vegetable/sup-vegetable-2.jpg"",""furniture/basic-chair/contrast-office_chair/contrast-office_chair-1.jpg"",""beast/sup-beast-4.jpg"",""furniture/basic-chair/basic-chair-2.jpg""]"
light,label1,basic,single,G,belpid,,"[""light/lamp/sub-gooseneck_lamp/1sub-gooseneck_lamp.jpg""]","[""fruit/sup-fruit-5.jpg"",""light/lamp/basic-lamp-1.jpg"",""vegetable/sup-vegetable-5.jpg"",""light/lamp/contrast-desk_lamp/contrast-desk_lamp-1.jpg"",""planet/sup-planet-3.jpg"",""light/lamp/basic-lamp-2.jpg"",""animal/sup-animal-5.jpg"",""light/lamp/sub-gooseneck_lamp/sub-gooseneck_lamp-1.jpg"",""beast/sup-beast-4.jpg"",""light/lamp/sub-gooseneck_lamp/sub-gooseneck_lamp-2.jpg""]"
vegetable,label1,basic,contrast,G,tuffee,blicket,"[""vegetable/basic-pepper/sub-green_pepper/1sub-green_pepper.jpg"",""vegetable/basic-pepper/contrast-red_pepper/1contrast-red_pepper.jpg""]","[""electronics/sup-electronics-4.jpg"",""vegetable/basic-pepper/basic-pepper-1.jpg"",""light/sup-light-4.jpg"",""vegetable/basic-pepper/contrast-red_pepper/contrast-red_pepper-1.jpg"",""vehicle/sup-vehicle-4.jpg"",""vegetable/basic-pepper/basic-pepper-2.jpg"",""planet/sup-planet-5.jpg"",""vegetable/basic-pepper/sub-green_pepper/sub-green_pepper-1.jpg"",""furniture/sup-furniture-4.jpg"",""vegetable/basic-pepper/sub-green_pepper/sub-green_pepper-2.jpg""]"
vehicle,label1,sub,single,G,clazzo,,"[""vehicle/basic-car/sub-racecar/1sub-racecar.jpg""]","[""beast/sup-beast-1.jpg"",""vehicle/basic-car/sub-racecar/sub-racecar-1.jpg"",""animal/sup-animal-5.jpg"",""vehicle/basic-car/sub-racecar/sub-racecar-2.jpg"",""vegetable/sup-vegetable-4.jpg"",""vehicle/basic-car/basic-car-1.jpg"",""planet/sup-planet-1.jpg"",""vehicle/basic-car/contrast-van/contrast-van-1.jpg"",""fruit/sup-fruit-3.jpg"",""vehicle/basic-car/basic-car-2.jpg""]"
animal,label1,sub,single,H,kapsin,,"[""animal/basic-dog/sub-dalmatian/1sub-dalmatian.jpg""]","[""electronics/sup-electronics-1.jpg"",""animal/basic-dog/sub-dalmatian/sub-dalmatian-1.jpg"",""planet/sup-planet-1.jpg"",""animal/basic-dog/sub-dalmatian/sub-dalmatian-2.jpg"",""light/sup-light-5.jpg"",""animal/basic-dog/basic-dog-1.jpg"",""vehicle/sup-vehicle-1.jpg"",""animal/basic-dog/contrast-corgi/contrast-corgi-1.jpg"",""furniture/sup-furniture-2.jpg"",""animal/basic-dog/basic-dog-2.jpg""]"
beast,label2,sub,contrast,H,garlet,crittum,"[""beast/basic-dinosaur/contrast-triceratops/1contrast-triceratops.jpg"",""beast/basic-dinosaur/sub-trex/1sub-trex.jpg""]","[""vehicle/sup-vehicle-4.jpg"",""beast/basic-dinosaur/sub-trex/sub-trex-1.jpg"",""electronics/sup-electronics-5.jpg"",""beast/basic-dinosaur/sub-trex/sub-trex-2.jpg"",""planet/sup-planet-2.jpg"",""beast/basic-dinosaur/basic-dinosaur-1.jpg"",""light/sup-light-4.jpg"",""beast/basic-dinosaur/contrast-triceratops/contrast-triceratops-1.jpg"",""furniture/sup-furniture-2.jpg"",""beast/basic-dinosaur/basic-dinosaur-2.jpg""]"
electronics,label1,basic,single,H,tazzai,,"[""electronics/basic-phone/sub-smart_phone/1sub-smart_phone.jpg""]","[""vegetable/sup-vegetable-5.jpg"",""electronics/basic-phone/basic-phone-1.jpg"",""animal/sup-animal-5.jpg"",""electronics/basic-phone/contrast-flip_phone/contrast-flip_phone-1.jpg"",""beast/sup-beast-5.jpg"",""electronics/basic-phone/basic-phone-2.jpg"",""fruit/sup-fruit-4.jpg"",""electronics/basic-phone/sub-smart_phone/sub-smart_phone-1.jpg"",""planet/sup-planet-3.jpg"",""electronics/basic-phone/sub-smart_phone/sub-smart_phone-2.jpg""]"
Filler-Shape-triangle,label1,NA,single,H,panzet,,"[""Fillers/Shape/triangle.jpg""]","[""Fillers/Shape/lines-11.jpg"",""Fillers/Shape/lines-13.jpg"",""Fillers/Shape/triangle-5.jpg"",""Fillers/Shape/lines-9.jpg"",""Fillers/Shape/lines-8.jpg"",""Fillers/Shape/triangle-3.jpg"",""Fillers/Shape/lines-10.jpg"",""Fillers/Shape/lines-6.jpg"",""Fillers/Shape/lines-4.jpg"",""Fillers/Shape/triangle-1.jpg""]"
fruit,label2,basic,contrast,H,mipen,kalmick,"[""fruit/basic-apple/contrast-green_apple/1contrast-green_apple.jpg"",""fruit/basic-apple/sub-red_apple/1sub-red_apple.jpg""]","[""light/sup-light-1.jpg"",""fruit/basic-apple/basic-apple-1.jpg"",""planet/sup-planet-2.jpg"",""fruit/basic-apple/contrast-green_apple/contrast-green_apple-1.jpg"",""vehicle/sup-vehicle-3.jpg"",""fruit/basic-apple/basic-apple-2.jpg"",""furniture/sup-furniture-3.jpg"",""fruit/basic-apple/sub-red_apple/sub-red_apple-1.jpg"",""electronics/sup-electronics-5.jpg"",""fruit/basic-apple/sub-red_apple/sub-red_apple-2.jpg""]"
furniture,label1,sub,single,H,gavai,,"[""furniture/basic-chair/sub-wooden-chair/1sub-wooden_chair.jpg""]","[""planet/sup-planet-3.jpg"",""furniture/basic-chair/sub-wooden-chair/sub-wooden_chair-1.jpg"",""beast/sup-beast-4.jpg"",""furniture/basic-chair/sub-wooden-chair/sub-wooden_chair-2.jpg"",""fruit/sup-fruit-5.jpg"",""furniture/basic-chair/basic-chair-1.jpg"",""animal/sup-animal-1.jpg"",""furniture/basic-chair/contrast-office_chair/contrast-office_chair-1.jpg"",""vegetable/sup-vegetable-2.jpg"",""furniture/basic-chair/basic-chair-2.jpg""]"
light,label1,sub,contrast,H,belpid,spadil,"[""light/lamp/sub-gooseneck_lamp/1sub-gooseneck_lamp.jpg"",""light/lamp/contrast-desk_lamp/1contrast-desk_lamp.jpg""]","[""animal/sup-animal-5.jpg"",""light/lamp/sub-gooseneck_lamp/sub-gooseneck_lamp-1.jpg"",""vegetable/sup-vegetable-1.jpg"",""light/lamp/sub-gooseneck_lamp/sub-gooseneck_lamp-2.jpg"",""beast/sup-beast-2.jpg"",""light/lamp/basic-lamp-1.jpg"",""fruit/sup-fruit-5.jpg"",""light/lamp/contrast-desk_lamp/contrast-desk_lamp-1.jpg"",""planet/sup-planet-3.jpg"",""light/lamp/basic-lamp-2.jpg""]"
vegetable,label1,basic,single,H,tuffee,,"[""vegetable/basic-pepper/sub-green_pepper/1sub-green_pepper.jpg""]","[""planet/sup-planet-1.jpg"",""vegetable/basic-pepper/basic-pepper-1.jpg"",""light/sup-light-1.jpg"",""vegetable/basic-pepper/contrast-red_pepper/contrast-red_pepper-1.jpg"",""electronics/sup-electronics-5.jpg"",""vegetable/basic-pepper/basic-pepper-2.jpg"",""furniture/sup-furniture-3.jpg"",""vegetable/basic-pepper/sub-green_pepper/sub-green_pepper-1.jpg"",""vehicle/sup-vehicle-4.jpg"",""vegetable/basic-pepper/sub-green_pepper/sub-green_pepper-2.jpg""]"
vehicle,label1,basic,contrast,H,clazzo,dalkeet,"[""vehicle/basic-car/sub-racecar/1sub-racecar.jpg"",""vehicle/basic-car/contrast-van/1contrast-van.jpg""]","[""fruit/sup-fruit-3.jpg"",""vehicle/basic-car/basic-car-1.jpg"",""vegetable/sup-vegetable-1.jpg"",""vehicle/basic-car/contrast-van/contrast-van-1.jpg"",""animal/sup-animal-3.jpg"",""vehicle/basic-car/basic-car-2.jpg"",""planet/sup-planet-2.jpg"",""vehicle/basic-car/sub-racecar/sub-racecar-1.jpg"",""beast/sup-beast-3.jpg"",""vehicle/basic-car/sub-racecar/sub-racecar-2.jpg""]"
